"p","U:0","U:1","U:2","epsilon","k","nut","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-9.3492,-0.62029,0.020341,4.0646e-021,347.56,0.75807,0.00015654,0.035273,-0.0013108,-9.2e-022,1,0.029725,0.029725,-0.025,0
-9.3538,-0.62373,0.020094,4.5024e-021,351.42,0.76371,0.00015738,0.035588,-0.0012976,-1.0247e-021,1,0.02993,0.02993,-0.025,0
-9.358,-0.62709,0.019856,5.5685e-021,355.25,0.76928,0.00015822,0.035899,-0.0012848,-1.2699e-021,1,0.030135,0.030135,-0.025,0
-9.3621,-0.63045,0.019618,6.635e-021,359.09,0.77485,0.00015905,0.03621,-0.001272,-1.515e-021,1,0.03034,0.03034,-0.025,0
-9.3663,-0.63381,0.01938,7.7019e-021,362.93,0.78042,0.00015988,0.03652,-0.0012591,-1.7601e-021,1,0.030545,0.030545,-0.025,0
-9.3698,-0.63708,0.019154,7.2061e-021,366.73,0.7859,0.00016069,0.036825,-0.0012467,-1.6479e-021,1,0.03075,0.03075,-0.025,0
-9.3732,-0.64031,0.018932,6.1266e-021,370.53,0.79135,0.0001615,0.037126,-0.0012345,-1.4024e-021,1,0.030955,0.030955,-0.025,0
-9.3765,-0.64354,0.01871,5.0467e-021,374.33,0.7968,0.0001623,0.037428,-0.0012222,-1.157e-021,1,0.03116,0.03116,-0.025,0
-9.3798,-0.64678,0.018488,3.9664e-021,378.13,0.80225,0.00016311,0.03773,-0.00121,-9.1164e-022,1,0.031365,0.031365,-0.025,0
-9.3824,-0.64989,0.018281,2.9165e-021,381.89,0.80758,0.00016389,0.038024,-0.0011983,-6.7018e-022,1,0.03157,0.03157,-0.025,0
-9.3849,-0.653,0.018075,1.8666e-021,385.65,0.81291,0.00016467,0.038317,-0.0011867,-4.288e-022,1,0.031775,0.031775,-0.025,0
-9.3875,-0.65611,0.017868,8.1632e-022,389.4,0.81824,0.00016545,0.038611,-0.001175,-1.8747e-022,1,0.03198,0.03198,-0.025,0
-9.3898,-0.6592,0.017664,0,393.15,0.82355,0.00016622,0.038902,-0.0011635,0,1,0.032185,0.032185,-0.025,0
